date,sales,profit,discount,quantity,customers,region,category,segment,day_of_week,month,year,is_weekend,is_holiday_season,sales_lag_1,sales_lag_7,sales_lag_30,sales_rolling_7,sales_rolling_30
2022-01-01,4747.03,838.68,0.05,129,67,Central,Furniture,Home Office,5,1,2022,1,0,4747.03,4747.03,4747.03,4747.03,4747.03
2022-01-02,3401.46,521.16,0.1,63,47,South,Technology,Corporate,6,1,2022,1,0,4747.03,4747.03,4747.03,4074.245,4074.245
2022-01-03,3390.48,864.42,0.0,63,53,Central,Technology,Home Office,0,1,2022,0,0,3401.46,4747.03,4747.03,3846.3233333333333,3846.3233333333333
2022-01-04,3771.28,987.21,0.05,74,53,Central,Office Supplies,Home Office,1,1,2022,0,0,3390.48,4747.03,4747.03,3827.5625,3827.5625
2022-01-05,3007.35,730.66,0.15,58,48,West,Office Supplies,Corporate,2,1,2022,0,0,3771.28,4747.03,4747.03,3663.5199999999995,3663.5199999999995
2022-01-06,3324.18,827.84,0.0,73,45,Central,Furniture,Corporate,3,1,2022,0,0,3007.35,4747.03,4747.03,3606.963333333333,3606.963333333333
2022-01-07,3305.0,617.37,0.05,87,45,South,Technology,Consumer,4,1,2022,0,0,3324.18,4747.03,4747.03,3563.825714285714,3563.825714285714
2022-01-08,4902.6,779.74,0.0,90,70,South,Office Supplies,Consumer,5,1,2022,1,0,3305.0,4747.03,4747.03,3586.05,3731.1725
2022-01-09,4925.32,1273.39,0.0,105,68,East,Office Supplies,Home Office,6,1,2022,1,0,4902.6,3401.46,4747.03,3803.7442857142855,3863.8555555555554
2022-01-10,2246.83,426.38,0.0,40,27,South,Furniture,Home Office,0,1,2022,0,0,4925.32,3390.48,4747.03,3640.365714285714,3702.153
2022-01-11,2899.32,595.44,0.1,82,40,South,Furniture,Home Office,1,1,2022,0,0,2246.83,3771.28,4747.03,3515.7999999999997,3629.168181818182
2022-01-12,3695.71,969.2,0.0,100,56,Central,Office Supplies,Home Office,2,1,2022,0,0,2899.32,3007.35,4747.03,3614.1371428571433,3634.713333333333
2022-01-13,3605.78,852.12,0.1,93,53,East,Furniture,Home Office,3,1,2022,0,0,3695.71,3324.18,4747.03,3654.3657142857146,3632.487692307692
2022-01-14,3807.4,863.11,0.15,71,51,East,Technology,Consumer,4,1,2022,0,0,3605.78,3305.0,4747.03,3726.1371428571433,3644.9814285714283
2022-01-15,4236.72,700.74,0.0,109,56,Central,Furniture,Corporate,5,1,2022,1,0,3807.4,4902.6,4747.03,3631.011428571429,3684.4306666666666
2022-01-16,4689.72,1131.66,0.0,103,69,South,Technology,Corporate,6,1,2022,1,0,4236.72,4925.32,4747.03,3597.3542857142857,3747.26125
2022-01-17,3394.36,583.87,0.0,102,49,East,Furniture,Corporate,0,1,2022,0,0,4689.72,2246.83,4747.03,3761.287142857143,3726.5023529411765
2022-01-18,2902.34,816.36,0.05,67,39,West,Furniture,Home Office,1,1,2022,0,0,3394.36,2899.32,4747.03,3761.718571428572,3680.715555555556
2022-01-19,3326.85,1145.62,0.0,78,41,South,Technology,Home Office,2,1,2022,0,0,2902.34,3695.71,4747.03,3709.0242857142853,3662.091052631579
2022-01-20,2498.29,679.32,0.0,51,35,West,Technology,Home Office,3,1,2022,0,0,3326.85,3605.78,4747.03,3550.8114285714287,3603.9010000000003
2022-01-21,4121.05,1021.57,0.0,83,58,South,Technology,Home Office,4,1,2022,0,0,2498.29,3807.4,4747.03,3595.6185714285716,3628.527142857143
2022-01-22,5174.62,1098.98,0.1,109,76,South,Technology,Corporate,5,1,2022,1,0,4121.05,4236.72,4747.03,3729.6042857142857,3698.804090909091
2022-01-23,5219.55,1313.45,0.0,145,73,South,Office Supplies,Home Office,6,1,2022,1,0,5174.62,4689.72,4747.03,3805.2942857142857,3764.9234782608696
2022-01-24,3529.66,672.11,0.05,64,53,South,Furniture,Consumer,0,1,2022,0,0,5219.55,3394.36,4747.03,3824.6228571428574,3755.120833333333
2022-01-25,2898.19,632.42,0.0,98,46,East,Technology,Home Office,1,1,2022,0,0,3529.66,2902.34,4747.03,3824.0299999999997,3720.8435999999997
2022-01-26,3992.45,1383.12,0.0,82,58,South,Office Supplies,Corporate,2,1,2022,0,0,2898.19,3326.85,4747.03,3919.1157142857146,3731.2900000000004
2022-01-27,3654.08,1059.94,0.0,72,52,South,Furniture,Corporate,3,1,2022,0,0,3992.45,2498.29,4747.03,4084.2285714285717,3728.4303703703704
2022-01-28,4208.13,1387.47,0.0,80,63,South,Technology,Home Office,4,1,2022,0,0,3654.08,4121.05,4747.03,4096.668571428571,3745.5625
2022-01-29,4885.24,1031.14,0.0,149,69,West,Technology,Home Office,5,1,2022,1,0,4208.13,5174.62,4747.03,4055.328571428571,3784.861724137931
2022-01-30,3923.07,843.77,0.0,110,58,South,Furniture,Home Office,6,1,2022,1,0,4885.24,5219.55,4747.03,3870.117142857143,3789.4686666666666
2022-01-31,3235.3,656.9,0.0,65,51,West,Technology,Corporate,0,1,2022,0,0,3923.07,3529.66,4747.03,3828.065714285714,3739.0776666666666
2022-02-01,4087.38,876.81,0.05,124,59,East,Furniture,Consumer,1,2,2022,0,0,3235.3,2898.19,3401.46,3997.9500000000003,3761.9416666666666
2022-02-02,4403.53,1229.0,0.0,88,60,East,Technology,Consumer,2,2,2022,0,0,4087.38,3992.45,3390.48,4056.6757142857145,3795.71
2022-02-03,4397.56,855.48,0.2,118,61,West,Office Supplies,Home Office,3,2,2022,0,0,4403.53,3654.08,3771.28,4162.887142857143,3816.5860000000002
2022-02-04,4422.21,813.24,0.0,118,58,East,Technology,Home Office,4,2,2022,0,0,4397.56,4208.13,3007.35,4193.47,3863.748
2022-02-05,4955.49,1063.0,0.0,107,74,South,Office Supplies,Consumer,5,2,2022,1,0,4422.21,4885.24,3324.18,4203.505714285714,3918.125
2022-02-06,5089.35,1468.89,0.15,113,76,East,Office Supplies,Corporate,6,2,2022,1,0,4955.49,3923.07,3305.0,4370.117142857142,3977.6033333333335
2022-02-07,3453.07,917.73,0.0,100,48,South,Furniture,Home Office,0,2,2022,0,0,5089.35,3235.3,4902.6,4401.227142857143,3929.285666666666
2022-02-08,4094.43,1097.99,0.0,97,56,West,Office Supplies,Corporate,1,2,2022,0,0,3453.07,4087.38,4925.32,4402.234285714286,3901.589333333334
2022-02-09,3883.85,1151.17,0.05,76,58,South,Office Supplies,Home Office,2,2,2022,0,0,4094.43,4403.53,2246.83,4327.994285714286,3956.1566666666668
2022-02-10,5301.14,1738.31,0.1,148,81,South,Technology,Corporate,3,2,2022,0,0,3883.85,4397.56,2899.32,4457.077142857143,4036.217333333333
2022-02-11,4883.96,928.75,0.1,111,68,West,Office Supplies,Corporate,4,2,2022,0,0,5301.14,4422.21,3695.71,4523.041428571429,4075.8256666666666
2022-02-12,6126.44,1110.65,0.0,144,90,West,Technology,Corporate,5,2,2022,1,0,4883.96,4955.49,3605.78,4690.32,4159.847666666667
2022-02-13,6436.38,1723.8,0.2,140,95,Central,Office Supplies,Corporate,6,2,2022,1,0,6126.44,5089.35,3807.4,4882.7528571428575,4247.480333333334
2022-02-14,3190.62,537.17,0.0,60,46,Central,Office Supplies,Corporate,0,2,2022,0,0,6436.38,3453.07,4236.72,4845.26,4212.610333333333
2022-02-15,4355.22,1081.5,0.0,107,64,Central,Office Supplies,Corporate,1,2,2022,0,0,3190.62,4094.43,4689.72,4882.515714285714,4201.460333333333
2022-02-16,3147.38,475.59,0.1,74,41,Central,Technology,Corporate,2,2,2022,0,0,4355.22,3883.85,3394.36,4777.305714285714,4193.227666666667
2022-02-17,4141.9,1074.87,0.1,106,61,South,Furniture,Corporate,3,2,2022,0,0,3147.38,5301.14,2902.34,4611.7,4234.546333333334
2022-02-18,5014.45,1112.92,0.05,149,70,South,Office Supplies,Consumer,4,2,2022,0,0,4141.9,4883.96,3326.85,4630.341428571429,4290.799666666667
2022-02-19,6141.06,1592.22,0.15,162,89,Central,Office Supplies,Consumer,5,2,2022,1,0,5014.45,6126.44,2498.29,4632.429999999999,4412.225333333334
2022-02-20,5430.0,1121.0,0.1,90,73,West,Office Supplies,Corporate,6,2,2022,1,0,6141.06,6436.38,4121.05,4488.661428571429,4455.857
2022-02-21,3233.13,909.69,0.05,73,50,West,Office Supplies,Home Office,0,2,2022,0,0,5430.0,3190.62,5174.62,4494.734285714286,4391.140666666667
2022-02-22,4336.54,804.38,0.0,126,63,East,Furniture,Consumer,1,2,2022,0,0,3233.13,4355.22,5219.55,4492.065714285714,4361.706999999999
2022-02-23,3851.94,1214.66,0.05,81,56,South,Office Supplies,Consumer,2,2,2022,0,0,4336.54,3147.38,3529.66,4592.717142857143,4372.449666666666
2022-02-24,4733.54,1215.88,0.0,100,70,South,Office Supplies,Corporate,3,2,2022,0,0,3851.94,4141.9,2898.19,4677.237142857143,4433.628
2022-02-25,4644.35,1335.18,0.2,81,65,East,Furniture,Corporate,4,2,2022,0,0,4733.54,5014.45,3992.45,4624.365714285715,4455.357999999999
2022-02-26,5695.01,958.7,0.0,147,87,South,Office Supplies,Home Office,5,2,2022,1,0,4644.35,6141.06,3654.08,4560.644285714286,4523.389
2022-02-27,5599.34,1759.69,0.2,170,80,West,Office Supplies,Home Office,6,2,2022,1,0,5695.01,5430.0,4208.13,4584.835714285714,4569.7626666666665
2022-02-28,3617.26,1093.51,0.0,71,54,South,Office Supplies,Consumer,0,2,2022,0,0,5599.34,3233.13,4885.24,4639.711428571429,4527.496666666668
2022-03-01,4047.47,1329.11,0.0,86,61,West,Office Supplies,Consumer,1,3,2022,0,0,3617.26,4336.54,3923.07,4598.415714285715,4531.643333333334
2022-03-02,3453.64,1109.17,0.15,90,45,South,Technology,Home Office,2,3,2022,0,0,4047.47,3851.94,3235.3,4541.515714285714,4538.921333333333
2022-03-03,3008.62,650.01,0.0,78,41,West,Furniture,Consumer,3,3,2022,0,0,3453.64,4733.54,4087.38,4295.098571428572,4502.962666666667
2022-03-04,5012.04,869.62,0.0,87,70,East,Furniture,Consumer,4,3,2022,0,0,3008.62,4644.35,4403.53,4347.625714285715,4523.246333333333
2022-03-05,5087.5,826.28,0.05,118,74,East,Technology,Consumer,5,3,2022,1,0,5012.04,5695.01,4397.56,4260.838571428571,4546.244333333333
2022-03-06,5917.85,1543.2,0.0,190,87,South,Office Supplies,Corporate,6,3,2022,1,0,5087.5,5599.34,4422.21,4306.339999999999,4596.099
2022-03-07,3561.71,927.64,0.2,73,49,Central,Furniture,Consumer,0,3,2022,0,0,5917.85,3617.26,4955.49,4298.404285714286,4549.639666666667
2022-03-08,4125.82,758.89,0.0,74,57,South,Technology,Corporate,1,3,2022,0,0,3561.71,4047.47,5089.35,4309.597142857143,4517.522
2022-03-09,3819.43,919.14,0.0,79,51,Central,Office Supplies,Consumer,2,3,2022,0,0,4125.82,3453.64,3453.07,4361.852857142857,4529.734
2022-03-10,4683.47,1555.78,0.0,122,65,East,Technology,Corporate,3,3,2022,0,0,3819.43,3008.62,4094.43,4601.117142857142,4549.368666666666
2022-03-11,6069.0,1974.44,0.0,171,81,Central,Office Supplies,Consumer,4,3,2022,0,0,4683.47,5012.04,3883.85,4752.111428571428,4622.207
2022-03-12,5841.94,946.83,0.2,164,82,East,Technology,Home Office,5,3,2022,1,0,6069.0,5087.5,5301.14,4859.888571428572,4640.233666666666
2022-03-13,6714.65,1056.65,0.0,166,94,Central,Office Supplies,Consumer,6,3,2022,1,0,5841.94,5917.85,4883.96,4973.717142857143,4701.256666666667
2022-03-14,3796.79,1123.6,0.15,106,54,East,Office Supplies,Corporate,0,3,2022,0,0,6714.65,3561.71,6126.44,5007.3,4623.6016666666665
2022-03-15,3886.61,1265.65,0.0,78,53,South,Technology,Home Office,1,3,2022,0,0,3796.79,4125.82,6436.38,4973.127142857143,4538.609333333333
2022-03-16,4390.36,1059.53,0.1,103,60,South,Office Supplies,Corporate,2,3,2022,0,0,3886.61,3819.43,3190.62,5054.688571428572,4578.600666666666
2022-03-17,4434.75,1327.15,0.05,112,67,West,Technology,Home Office,3,3,2022,0,0,4390.36,4683.47,4355.22,5019.157142857142,4581.251666666666
2022-03-18,4809.58,1288.89,0.0,81,67,West,Furniture,Home Office,4,3,2022,0,0,4434.75,6069.0,3147.38,4839.24,4636.658333333334
2022-03-19,6101.95,1975.76,0.05,148,85,West,Furniture,Corporate,5,3,2022,1,0,4809.58,5841.94,4141.9,4876.384285714286,4701.993333333333
2022-03-20,4715.96,1054.83,0.2,111,67,East,Technology,Home Office,6,3,2022,1,0,6101.95,6714.65,5014.45,4590.857142857143,4692.0436666666665
2022-03-21,2980.8,775.84,0.05,78,45,Central,Technology,Consumer,0,3,2022,0,0,4715.96,3796.79,6141.06,4474.2871428571425,4586.701666666666
2022-03-22,4208.11,793.05,0.0,115,62,Central,Office Supplies,Consumer,1,3,2022,0,0,2980.8,3886.61,5430.0,4520.215714285715,4545.971999999999
2022-03-23,3591.13,899.44,0.05,57,47,South,Technology,Corporate,2,3,2022,0,0,4208.11,4390.36,3233.13,4406.04,4557.905333333333
