date,sales,profit,discount,quantity,region,category,segment,day_of_week,month,year,is_weekend,is_holiday_season,customers,sales_lag_1,sales_lag_7,sales_lag_30,sales_rolling_7,sales_rolling_30
2022-01-01,1408.044,198.1498,0.21428571428571427,45,West,Office Supplies,Consumer,5,1,2022,1,0,45,1408.044,1408.044,1408.044,1408.044,1408.044
2022-01-02,1977.236,277.1654,0.20714285714285713,51,East,Office Supplies,Corporate,6,1,2022,1,0,51,1408.044,1408.044,1408.044,1692.64,1692.64
2022-01-03,2992.8019999999997,4.822599999999996,0.14285714285714285,56,West,Office Supplies,Consumer,0,1,2022,0,0,56,1977.236,1408.044,1408.044,2126.0273333333334,2126.0273333333334
2022-01-04,4557.691,637.4494,0.1464285714285714,57,West,Office Supplies,Consumer,1,1,2022,0,0,57,2992.8019999999997,1408.044,1408.044,2733.94325,2733.94325
2022-01-05,1902.4679999999998,190.8067,0.24285714285714285,49,West,Office Supplies,Consumer,2,1,2022,0,0,49,4557.691,1408.044,1408.044,2567.6481999999996,2567.6481999999996
2022-01-06,4964.5528,-5.5111999999999846,0.1442857142857143,55,East,Office Supplies,Consumer,3,1,2022,0,0,55,1902.4679999999998,1408.044,1408.044,2967.1322999999998,2967.1322999999998
2022-01-07,2491.2239999999997,98.1671,0.1285714285714286,53,West,Furniture,Consumer,4,1,2022,0,0,53,4964.5528,1408.044,1408.044,2899.1454,2899.1454
2022-01-08,2314.11,-419.74159999999995,0.20714285714285713,61,West,Office Supplies,Corporate,5,1,2022,1,0,61,2491.2239999999997,1408.044,1408.044,3028.5833999999995,2826.015975
2022-01-09,1575.4969999999998,-192.66989999999998,0.2642857142857143,44,East,Office Supplies,Consumer,6,1,2022,1,0,44,2314.11,1977.236,1408.044,2971.192114285714,2687.069422222222
2022-01-10,2833.598,-273.8377,0.15714285714285717,68,West,Office Supplies,Corporate,0,1,2022,0,0,68,1575.4969999999998,2992.8019999999997,1408.044,2948.448685714286,2701.72228
2022-01-11,6034.406,510.2433,0.17142857142857146,64,Central,Office Supplies,Consumer,1,1,2022,0,0,64,2833.598,4557.691,1408.044,3159.4079714285713,3004.6935272727274
